Title,Type,Rating,Vote Count,Start Date,Studio
Aikatsu Stars!,TV,9.42,251,"Apr 07, 2016",Bandai Namco Pictures
Aikatsu Planet! Bloomy＊Café,TV,8.33,6,2021,Bandai Namco Pictures
Aikatsu Planet! The Movie,MOVIE,6.53,15,"Jul 15, 2022",Bandai Namco Pictures
Aikatsu! 10th STORY: Mirai e no STARWAY (2023),MOVIE,8.73,49,"Jan 20, 2023",Bandai Namco Pictures
Aikatsu Stars! The Movie,MOVIE,9.58,40,"Aug 13, 2016",Bandai Namco Pictures
Aikatsu!,TV,9.42,473,"Oct 08, 2012",Bandai Namco Pictures
Aikatsu! Music Award: Minna de Shou wo Moraima SHOW!,MOVIE,9.18,22,"Aug 22, 2015",Bandai Namco Pictures
Aikatsu! and Aikatsu Stars! 5th Anniversary Special,SPECIAL,8.86,12,"Oct 10, 2021",
Aikatsu! Movie,MOVIE,9.89,35,"Dec 13, 2014",Sunrise
Aim for the Ace! (1979),MOVIE,8.84,13,"Sep 08, 1979",Tokyo Movie Shinsha
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,MOVIE,8.98,26,"Aug 13, 2016",Bandai Namco Pictures
Aim for the Ace!,TV,8.17,59,"Oct 05, 1973",Tokyo Movie Shinsha
Air Gear,TV,8.8,456,"Apr 05, 2006",Toei Animation
Air,TV,8.42,160,"Jan 07, 2005",Kyoto Animation
Air Bound,MOVIE,6.05,18,"Oct 10, 2015",Shirogumi
Air in Summer,SPECIAL,7.97,11,"Aug 28, 2005",Kyoto Animation
AIR GEAR: Kuro no Hane to Nemuri no Mori - Break on the Sky,OVA,8.3,77,"Nov 17, 2010",Satelight
Air Gear: Special Trick,SPECIAL,8.61,34,"Mar 21, 2007",Toei Animation
Air: The Motion Picture,MOVIE,8.79,32,"Feb 05, 2005",Toei Animation
Air Master,TV,8.18,79,"Apr 02, 2003",Toei Animation
Air: Memories,SPECIAL,8.94,11,"Apr 01, 2005",Kyoto Animation
Ajimu: Kaigan Monogatari,ONA,6.68,39,"Jun 15, 2001",Actas
Aitsu to Lullaby: Suiyoubi no Cinderella,MOVIE,6,10,"Aug 01, 1987",Pierrot
AIURA,TV,9.17,134,"Apr 10, 2013",LIDENFILMS
AJIN: Demi-Human,TV,8.33,585,"Jan 16, 2016",Polygon Pictures
